id_viagem,data_embarque,data_retorno,status_viagem,nome_pacote,mes_embarque
1,2025-08-30 23:13:30,2025-09-12 03:13:30,Em Andamento,Sabores de São José - Fim de Semana,2025-08
2,2026-02-24 13:47:38,2026-03-04 13:47:38,Confirmada,Viagem dos Sonhos a Paulista - Roteiro Premium,2026-02
3,2026-09-08 11:48:17,2026-09-23 16:48:17,Em Andamento,Viagem dos Sonhos a Uberaba - Econômico,2026-09
4,2026-12-08 11:32:45,2026-12-24 14:32:45,Concluída,Clássico Santarém - de Luxo,2026-12
6,2026-05-29 14:18:16,2026-06-11 17:18:16,Em Andamento,Experiência Várzea Grande - de Luxo,2026-05
7,2027-03-04 02:36:59,2027-03-21 04:36:59,Concluída,Refúgio em Praia Grande - em Família,2027-03
8,2025-03-18 05:03:57,2025-04-04 07:03:57,Cancelada,Tour Exclusivo por Mossoró - de Luxo,2025-03
9,2026-01-09 18:30:38,2026-01-18 22:30:38,Cancelada,Sabores de Vitória da Conquista - Roteiro Premium,2026-01
11,2026-08-28 22:03:52,2026-09-09 01:03:52,Em Andamento,Charme de São José - Roteiro Premium,2026-08
12,2025-08-23 01:48:21,2025-08-31 04:48:21,Confirmada,Explore Aquiraz - 7 Dias,2025-08
13,2026-04-26 02:48:04,2026-04-30 02:48:04,Confirmada,Roteiro Completo por Florianópolis - 10 Dias,2026-04
14,2026-07-04 17:30:00,2026-07-18 18:30:00,Em Andamento,Viagem dos Sonhos a São Paulo - em Família,2026-07
15,2025-02-15 02:21:50,2025-03-03 03:21:50,Em Andamento,Sabores de Juazeiro - em Família,2025-02
17,2027-01-03 22:02:07,2027-01-20 01:02:07,Concluída,Tour Exclusivo por Florianópolis - de Luxo,2027-01
18,2027-02-07 03:04:41,2027-02-19 06:04:41,Confirmada,Fuga Romântica para Ubatuba - em Família,2027-02
19,2026-06-06 18:31:45,2026-06-11 21:31:45,Confirmada,Essência de Torres - 3 Dias,2026-06
20,2025-06-03 16:45:35,2025-06-11 18:45:35,Concluída,Descubra Aquiraz - em Família,2025-06
21,2025-07-06 02:05:24,2025-07-11 04:05:24,Em Andamento,Encantos de Patos - de Luxo,2025-07
23,2026-09-26 23:49:11,2026-09-30 23:49:11,Cancelada,Experiência São Gonçalo do Amarante - de Luxo,2026-09
24,2025-02-24 04:45:46,2025-03-02 07:45:46,Concluída,Refúgio em Teresina - Econômico,2025-02
28,2026-04-01 06:31:36,2026-04-18 07:31:36,Em Andamento,Tour Exclusivo por Rio de Janeiro - All Inclusive,2026-04
29,2026-10-28 12:47:55,2026-11-08 13:47:55,Concluída,Sabores de Vitória da Conquista - Roteiro Premium,2026-10
31,2025-10-14 14:37:25,2025-10-18 15:37:25,Concluída,Viagem dos Sonhos a Iguatu - com Passeios Inclusos,2025-10
32,2026-01-22 07:33:51,2026-02-09 09:33:51,Confirmada,Charme de Viamão - com Passeios Inclusos,2026-01
