id_pacote,nome_pacote,status,destino,uf_destino
168,Encantos de Cruzeiro do Sul - 4 Dias e 3 Noites,Publicado,Cruzeiro do Sul,AC
32,Charme de Maceió - 5 Dias e 4 Noites,Ativo,Maceió,AL
84,Sabores de Rio Largo - All Inclusive,Rascunho,Rio Largo,AL
59,Viagem dos Sonhos a Maragogi - 4 Dias e 3 Noites,Publicado,Maragogi,AL
113,Aventura em Maragogi - All Inclusive,Publicado,Maragogi,AL
146,Fuga Romântica para Maragogi - 3 Dias,Rascunho,Maragogi,AL
115,Explore Marechal Deodoro - Roteiro Premium,Publicado,Marechal Deodoro,AL
62,Essência de Manaus - Roteiro Premium,Em Revisão,Manaus,AM
17,Charme de Parintins - em Família,Em Revisão,Parintins,AM
41,Fuga Romântica para Itacoatiara - de Luxo,Ativo,Itacoatiara,AM
53,Descubra Itacoatiara - 3 Dias,Ativo,Itacoatiara,AM
38,Charme de Manacapuru - em Família,Em Revisão,Manacapuru,AM
89,Fuga Romântica para Santana - em Família,Publicado,Santana,AP
7,Essência de Laranjal do Jari - 3 Dias,Publicado,Laranjal do Jari,AP
117,Explore Laranjal do Jari - All Inclusive,Ativo,Laranjal do Jari,AP
135,Clássico Salvador - em Família,Ativo,Salvador,BA
23,Encantos de Porto Seguro - em Família,Em Revisão,Porto Seguro,BA
100,Roteiro Completo por Porto Seguro - 10 Dias,Rascunho,Porto Seguro,BA
157,Fuga Romântica para Feira de Santana - All Inclusive,Inativo,Feira de Santana,BA
153,Sabores de Vitória da Conquista - Roteiro Premium,Ativo,Vitória da Conquista,BA
21,Essência de Itabuna - com Passeios Inclusos,Rascunho,Itabuna,BA
110,Sabores de Juazeiro - em Família,Ativo,Juazeiro,BA
88,Fuga Romântica para Lauro de Freitas - em Família,Publicado,Lauro de Freitas,BA
90,Fuga Romântica para Lauro de Freitas - 5 Dias e 4 Noites,Publicado,Lauro de Freitas,BA
118,Sabores de Lauro de Freitas - em Família,Ativo,Lauro de Freitas,BA
58,Clássico Jequié - 5 Dias e 4 Noites,Rascunho,Jequié,BA
138,Explore Jequié - 5 Dias e 4 Noites,Publicado,Jequié,BA
25,Refúgio em Barreiras - de Luxo,Em Revisão,Barreiras,BA
75,Tour Exclusivo por Paulo Afonso - 10 Dias,Publicado,Paulo Afonso,BA
94,Explore Fortaleza - Roteiro Premium,Publicado,Fortaleza,CE
119,Refúgio em Fortaleza - de Luxo,Ativo,Fortaleza,CE
154,Roteiro Completo por Fortaleza - 3 Dias,Inativo,Fortaleza,CE
71,Experiência Jericoacoara - 7 Dias,Rascunho,Jericoacoara,CE
85,Experiência Jericoacoara - em Família,Ativo,Jericoacoara,CE
189,Charme de Jericoacoara - 3 Dias,Publicado,Jericoacoara,CE
22,Charme de Caucaia - 7 Dias,Inativo,Caucaia,CE
172,Explore Caucaia - Fim de Semana,Ativo,Caucaia,CE
18,Tour Exclusivo por Juazeiro do Norte - 3 Dias,Ativo,Juazeiro do Norte,CE
107,Refúgio em Crato - Roteiro Premium,Rascunho,Crato,CE
199,Descubra Aracati - Econômico,Em Revisão,Aracati,CE
45,Descubra Aquiraz - em Família,Inativo,Aquiraz,CE
57,Explore Aquiraz - 7 Dias,Em Revisão,Aquiraz,CE
47,Experiência Itapipoca - em Família,Rascunho,Itapipoca,CE
155,Raízes de Maranguape - All Inclusive,Ativo,Maranguape,CE
116,Viagem dos Sonhos a Iguatu - com Passeios Inclusos,Publicado,Iguatu,CE
37,Roteiro Completo por Brasília - de Luxo,Rascunho,Brasília,DF
96,Charme de Vitória - 5 Dias e 4 Noites,Em Revisão,Vitória,ES
26,Explore Vila Velha - com Passeios Inclusos,Publicado,Vila Velha,ES
109,Raízes de Cariacica - Econômico,Ativo,Cariacica,ES
145,Essência de Cachoeiro de Itapemirim - 5 Dias e 4 Noites,Publicado,Cachoeiro de Itapemirim,ES
156,Sabores de Anápolis - com Passeios Inclusos,Ativo,Anápolis,GO
164,Charme de Anápolis - com Passeios Inclusos,Publicado,Anápolis,GO
56,Sabores de Águas Lindas de Goiás - Econômico,Em Revisão,Águas Lindas de Goiás,GO
105,Viagem dos Sonhos a Águas Lindas de Goiás - 4 Dias e 3 Noites,Publicado,Águas Lindas de Goiás,GO
9,Experiência Valparaíso de Goiás - de Luxo,Publicado,Valparaíso de Goiás,GO
20,Sabores de Trindade - Fim de Semana,Publicado,Trindade,GO
175,Descubra Trindade - 4 Dias e 3 Noites,Inativo,Trindade,GO
111,Aventura em Caldas Novas - Roteiro Premium,Publicado,Caldas Novas,GO
27,Tour Exclusivo por São Luís - 3 Dias,Em Revisão,São Luís,MA
50,Experiência São José de Ribamar - 7 Dias,Publicado,São José de Ribamar,MA
99,Aventura em Caxias - 5 Dias e 4 Noites,Publicado,Caxias,MA
134,Viagem dos Sonhos a Codó - de Luxo,Inativo,Codó,MA
19,Fuga Romântica para Barreirinhas - Roteiro Premium,Publicado,Barreirinhas,MA
162,Essência de Belo Horizonte - 3 Dias,Rascunho,Belo Horizonte,MG
124,Explore Uberlândia - Roteiro Premium,Rascunho,Uberlândia,MG
29,Viagem dos Sonhos a Contagem - 7 Dias,Ativo,Contagem,MG
11,Essência de Juiz de Fora - Fim de Semana,Publicado,Juiz de Fora,MG
192,Sabores de Juiz de Fora - em Família,Publicado,Juiz de Fora,MG
46,Viagem dos Sonhos a Uberaba - Econômico,Publicado,Uberaba,MG
97,Viagem dos Sonhos a Governador Valadares - 3 Dias,Ativo,Governador Valadares,MG
148,Viagem dos Sonhos a Ipatinga - 4 Dias e 3 Noites,Publicado,Ipatinga,MG
158,Aventura em Ipatinga - 10 Dias,Publicado,Ipatinga,MG
