id_avaliacao,nota,comentarios,id_parceiro,razao_social,tipo_parceiro
1,3,"Hotel dentro do esperado, sem grandes destaques.",1,Hotelaria Brasil SA,Hotel
2,2,Demorou para resolver um problema no ar-condicionado do quarto.,2,Hotel Central SP LTDA,Hotel
3,5,"Hospedagem impecável, quartos muito limpos e equipe atenciosa.",3,Boutique Hotel Charme,Hotel
4,4,"Boa estadia, apenas o wi-fi poderia ser mais estável.",4,Plaza Executive Hotel,Hotel
5,4,"Boa estadia, apenas o wi-fi poderia ser mais estável.",5,Hotel das Nações ME,Hotel
6,4,"Boa estadia, apenas o wi-fi poderia ser mais estável.",6,Grand Palace Hotelaria,Hotel
7,1,"Reserva não foi respeitada corretamente pelo hotel, gerou transtorno.",7,Hotel Estação Norte,Hotel
8,3,"Hotel dentro do esperado, sem grandes destaques.",8,Comfort Inn Paulista,Hotel
9,3,"Hotel dentro do esperado, sem grandes destaques.",9,Hotel Serra Azul SA,Hotel
10,4,"Quartos confortáveis, localização muito conveniente.",10,Oceanic Hotel Litoral,Hotel
11,2,Demorou para resolver um problema no ar-condicionado do quarto.,11,Hotel Vale do Sol,Hotel
12,4,"Quartos confortáveis, localização muito conveniente.",12,Imperial Hotel Center,Hotel
13,4,"Quartos confortáveis, localização muito conveniente.",13,Hotelaria Costa Leste,Hotel
14,5,"Hospedagem impecável, quartos muito limpos e equipe atenciosa.",14,Royal Palace Hotel,Hotel
15,4,"Quartos confortáveis, localização muito conveniente.",15,Hotel Fazenda Minas,Hotel
16,4,"Boa estadia, apenas o wi-fi poderia ser mais estável.",16,Urban Concept Hotel,Hotel
17,3,"Atendimento razoável, estrutura um pouco datada.",17,Hotel Executivo Sul,Hotel
18,4,"Boa estadia, apenas o wi-fi poderia ser mais estável.",18,Lagos Hotelaria SA,Hotel
19,5,"Excelente custo-benefício, café da manhã variado e check-in rápido.",19,Hotel Bella Vista,Hotel
20,4,"Quartos confortáveis, localização muito conveniente.",20,Metrópole Hotel e Eventos,Hotel
21,5,"Pousada charmosa, ótima relação custo-benefício.",21,Pousada do Sol Nascente LTDA,Pousada
22,2,Poucas opções no café da manhã.,22,Pousada Brisa do Mar,Pousada
23,5,"Pousada charmosa, ótima relação custo-benefício.",23,Pousada Recanto Feliz,Pousada
24,3,"Quarto pequeno, mas limpo e funcional.",24,Eco Pousada Verde,Pousada
25,2,Wi-fi instável durante toda a estadia.,25,Pousada das Águas,Pousada
26,2,Wi-fi instável durante toda a estadia.,26,Pousada Caminho das Pedras,Pousada
27,2,Poucas opções no café da manhã.,27,Pousada Estrela da Manhã,Pousada
28,5,"Pousada charmosa, ótima relação custo-benefício.",28,Pousada Flor de Lis,Pousada
29,5,"Pousada charmosa, ótima relação custo-benefício.",29,Pousada Beira Rio,Pousada
30,5,Ambiente acolhedor e proprietários muito prestativos.,30,Pousada Canto dos Pássaros,Pousada
31,3,"Pousada simples, atendeu as expectativas básicas.",31,Pousada Vila Colonial,Pousada
